"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2000","2000",76875,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2001","2001",76209,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2002","2002",76653,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2003","2003",78240,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2004","2004",79639,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2005","2005",78715,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2006","2006",80331,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2008","2008",81233,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2009","2009",81838,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2010","2010",83232,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2011","2011",84576,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2012","2012",85200,"E","Estimated value"
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2013","2013",86510,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2014","2014",89019,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2015","2015",90879,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2016","2016",92826,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2000","2000",63674,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2001","2001",63114,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2002","2002",63092,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2003","2003",62806,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2004","2004",63206,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2005","2005",63248,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2006","2006",63354,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2007","2007",64307,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2008","2008",64018,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2009","2009",64069,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2010","2010",64008,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2011","2011",64417,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2012","2012",64691,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2013","2013",64825,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2014","2014",64815,,
