Function	Provider	MEASURE	Measure	LOCATION	Country	Year	Unit Code	Unit	Value
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2010	PC	Percentage	10.333
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2011	PC	Percentage	10.153
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2012	PC	Percentage	10.241
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2013	PC	Percentage	10.17
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2014	PC	Percentage	10.172
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2015	PC	Percentage	10.227
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2016	PC	Percentage	10.181
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2017	PC	Percentage	10.108
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	DNK	Denmark	2018	PC	Percentage	10.47
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2010	PC	Percentage	11.239
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2011	PC	Percentage	11.203
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2012	PC	Percentage	11.315
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2013	PC	Percentage	11.436
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2014	PC	Percentage	11.571
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2015	PC	Percentage	11.459
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2016	PC	Percentage	11.479
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2017	PC	Percentage	11.313
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	FRA	France	2018	PC	Percentage	11.177
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2010	PC	Percentage	9.56
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2011	PC	Percentage	9.098
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2012	PC	Percentage	8.883
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2013	PC	Percentage	8.415
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2014	PC	Percentage	7.95
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2015	PC	Percentage	8.09
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2016	PC	Percentage	8.282
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2017	PC	Percentage	8.042
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GRC	Greece	2018	PC	Percentage	7.846
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2010	PC	Percentage	8.954
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2011	PC	Percentage	8.835
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2012	PC	Percentage	8.956
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2013	PC	Percentage	8.952
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2014	PC	Percentage	9.011
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2015	PC	Percentage	8.988
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2016	PC	Percentage	8.881
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2017	PC	Percentage	8.84
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	ITA	Italy	2018	PC	Percentage	8.813
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2010	PC	Percentage	8.898
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2011	PC	Percentage	8.779
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2012	PC	Percentage	8.765
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2013	PC	Percentage	8.917
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2014	PC	Percentage	9.328
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2015	PC	Percentage	10.109
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2016	PC	Percentage	10.519
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2017	PC	Percentage	10.446
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	NOR	Norway	2018	PC	Percentage	10.182
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2010	PC	Percentage	9.819
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2011	PC	Percentage	9.531
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2012	PC	Percentage	9.348
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2013	PC	Percentage	9.09
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2014	PC	Percentage	9.022
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2015	PC	Percentage	8.972
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2016	PC	Percentage	9.038
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2017	PC	Percentage	8.97
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	PRT	Portugal	2018	PC	Percentage	9.099
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2010	PC	Percentage	8.477
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2011	PC	Percentage	10.666
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2012	PC	Percentage	10.926
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2013	PC	Percentage	11.089
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2014	PC	Percentage	11.13
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	SWE	Sweden	2015	PC	Percentage	11.004
