Financing scheme;Function;Provider;MEASURE;Measure;Country;Year;Value
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Denmark;2010;10.333
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Denmark;2011;10.153
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Denmark;2012;10.241
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Denmark;2013;10.17
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Denmark;2014;10.172
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Denmark;2015;10.227
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Denmark;2016;10.181
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Denmark;2017;10.108
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Denmark;2018;10.47
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;France;2010;11.239
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;France;2011;11.203
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;France;2012;11.315
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;France;2013;11.436
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;France;2014;11.571
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;France;2015;11.459
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;France;2016;11.479
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;France;2017;11.313
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;France;2018;11.177
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Greece;2010;9.56
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Greece;2011;9.098
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Greece;2012;8.883
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Greece;2013;8.415
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Greece;2014;7.95
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Greece;2015;8.09
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Greece;2016;8.282
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Greece;2017;8.042
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Greece;2018;7.846
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Italy;2010;8.954
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Italy;2011;8.835
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Italy;2012;8.956
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Italy;2013;8.952
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Italy;2014;9.011
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Italy;2015;8.988
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Italy;2016;8.881
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Italy;2017;8.84
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Italy;2018;8.813
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Norway;2010;8.898
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Norway;2011;8.779
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Norway;2012;8.765
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Norway;2013;8.917
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Norway;2014;9.328
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Norway;2015;10.109
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Norway;2016;10.519
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Norway;2017;10.446
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Norway;2018;10.182
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Portugal;2010;9.819
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Portugal;2011;9.531
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Portugal;2012;9.348
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Portugal;2013;9.09
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Portugal;2014;9.022
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Portugal;2015;8.972
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Portugal;2016;9.038
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Portugal;2017;8.97
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Portugal;2018;9.099
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Sweden;2010;8.477
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Sweden;2011;10.666
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Sweden;2012;10.926
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Sweden;2013;11.089
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Sweden;2014;11.13
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Sweden;2015;11.004
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Sweden;2016;10.976
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Sweden;2017;11.019
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Sweden;2018;11.037
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Turkey;2010;5.054
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Turkey;2011;4.688
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Turkey;2012;4.478
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Turkey;2013;4.404
